Date,Viable,Unviable,Total,Viability %
11/1/25,"13,400","2,100","15,500",86.5
11/2/25,"16,500","32,750","49,250",33.5
11/3/25,"11,100","19,500","30,600",36.3
11/4/25,"9,100","30,600","39,700",22.9
11/5/25,"22,800","55,500","78,300",29.1
11/6/25,"68,400","15,900","84,300",81.1
11/7/25,"39,600","16,400","56,000",70.7
11/8/25,"13,200","40,000","53,200",24.8
11/9/25,"10,600","50,600","61,200",17.3
11/10/25,"6,000","31,900","37,900",15.8
11/11/25,"5,400","21,450","26,850",20.1
11/12/25,"2,800","6,000","8,800",31.8
11/13/25,"1,100","11,800","12,900",8.5
11/14/25,600,"6,000","6,600",9.1
11/15/25,0,"1,860","1,860",0.0
11/16/25,0,0,0,#DIV/0!
11/17/25,0,0,0,#DIV/0!
11/18/25,0,0,0,#DIV/0!
11/19/25,0,0,0,#DIV/0!
11/20/25,0,0,0,#DIV/0!
11/21/25,0,0,0,#DIV/0!
11/22/25,0,0,0,#DIV/0!
11/23/25,0,"2,500","2,500",0.0
11/24/25,0,"1,700","1,700",0.0
11/25/25,0,0,0,#DIV/0!
11/26/25,0,"1,300","1,300",0.0
11/27/25,700,"7,400","8,100",8.6
11/28/25,"4,000","6,100","10,100",39.6
11/29/25,0,100,100,0.0
11/30/25,"4,800","4,400","9,200",52.2
12/1/25,350,1050,"1,400",25.0
