id,dph,length,depth,Flexion 0/1/2,Protocol
0dph1,0,1.489,0.104,0,E
0dph2,0,1.558,0.104,0,E
0dph3,0,1.552,0.091,0,E
0dph4,0,1.563,0.103,0,E
0dph5,0,1.318,0.104,0,E
2dph1,2,2.519,0.153,0,E
2dph2,2,2.497,0.166,0,E
2dph3,2,2.386,0.164,0,E
3dph1,3,2.45,0.157,0,E
3dph2,3,2.48,0.177,0,E
5dph1,5,2.514,0.213,0,E
5dph2,5,2.609,0.222,0,E
7dph1,7,2.64,0.258,0,E
8dph1,8,2.955,0.287,0,C
8dph2,8,3.025,0.335,0,C
8dph1,8,2.943,0.345,0,E
9dph1,9,3.152,0.393,0,E
10dph1,10,3.48,0.463,0,E
10dph2,10,3.421,0.545,0,E
11dph1,11,3.181,0.344,0,D
11dph2,11,3.041,0.323,0,D
11dph1,11,3.944,0.679,0,E
12dph1,12,3.292,0.383,0,C
12dph2,12,3.409,0.387,0,C
12dph3,12,3.628,0.533,0,C
12dph1,12,4.043,0.836,0,E
12dph2,12,3.508,0.57,0,E
13dph1,13,3.592,0.65,0,E
13dph2,13,3.7,0.65,0,E
13dph3,13,3.715,0.654,0,E
14dph1,14,4.283,1.447,1,B
14dph2,14,3.949,0.944,0,B
14dph3,14,4.413,1.341,1,B
14dph1,14,4.254,1.497,1,B
14dph2,14,4.005,0.799,0,B
14dph3,14,3.506,0.691,0,B
14dph4,14,4.499,1.455,1,B
14dph1,14,3.551,0.684,1,E
14dph2,14,3.946,0.826,1,E
15dph1,15,3.424,0.517,0,D
15dph2,15,4.032,0.877,1,D
15dph1,15,3.65,0.534,0,C
15dph2,15,3.554,0.489,0,C
15dph3,15,3.395,0.534,0,C
15dph1,15,3.943,1.35,1,A
15dph2,15,3.772,0.913,1,A
15dph3,15,4.14,1.16,1,A
15dph1,15,4.586,1.545,1,A
15dph2,15,4.47,1.8,1,A
15dph3,15,4.239,1.697,1,A
15dph1,15,3.939,0.913,1,E
16dph1,16,4.166,1.05,1,E
16dph2,16,3.971,1.123,1,E
17dph1,17,4.043,1.466,1,E
17dph2,17,4.493,1.506,1,E
18dph1,18,4.151,1.145,1,D
18dph2,18,3.814,1.91,1,D
18dph1,18,4.502,2.191,1,B
18dph2,18,4.395,2.116,1,B
18dph3,18,3.908,1.673,1,B
18dph4,18,3.884,1.876,1,B
19dph1,19,4.939,2.637,2,A
19dph2,19,5.002,2.779,2,A
19dph3,19,4.564,2.359,2,A
19dph1,19,4.073,1.475,1,E
19dph2,19,4.191,1.53,1,E
19dph3,19,4.192,1.378,1,E
19dph4,19,4.316,1.423,1,E
21dph1,21,5.327,2.73,2,B
21dph2,21,4.463,2.4,1,B
21dph3,21,4.912,2.219,1,B
21dph1,21,4.445,2.028,2,E
21dph2,21,3.887,1.911,1,E
21dph3,21,4.169,1.975,2,E
22dph1,22,5.291,2.915,2,A
22dph2,22,4.888,2.284,1,A
22dph3,22,5.122,2.74,1,A
23dph1,23,4.286,2.052,2,E
23dph2,23,4.588,2.579,2,E
24dph1,24,4.231,2.255,2,E
24dph2,24,4.197,2.019,2,E
25dph1,25,5.038,2.799,2,B
25dph2,25,5.284,3.126,2,B
25dph3,25,5.831,3.243,2,B
25dph4,25,5.993,3.197,2,B
25dph1,25,4.278,2.32,2,E
25dph2,25,4.9,3.068,2,E
26dph1,26,6.165,3.978,2,A
26dph2,26,6.269,3.592,2,A
26dph3,26,5.845,3.329,2,A
28dph1,28,6.092,3.556,2,B
28dph2,28,6.898,3.942,2,B
28dph1,28,4.908,2.597,2,E
28dph2,28,5.614,3.345,2,E
29dph1,29,6.819,4.093,2,A
29dph2,29,6.9,4.149,2,A
30dph1,30,4.226,2.296,2,E
30dph2,30,6.382,3.673,2,E
31dph1,31,5.282,3.025,2,E
31dph2,31,5.98,3.788,2,E
32dph1,32,6.921,4.251,2,B
32dph2,32,6.491,3.953,2,B
33dph1,33,8.456,5.194,2,A
33dph2,33,7.837,4.632,2,A
33dph1,33,6.2,3.559,2,E
35dph1,35,7.545,4.563,2,B
35dph2,35,7.303,4.633,2,B
35dph1,35,5.791,3.742,2,E
36dph1,36,9.471,5.785,2,A
36dph2,36,9.117,5.545,2,A
38dph1,38,5.935,3.624,2,E
38dph2,38,5.726,3.735,2,E
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
