Date,Viable,Unviable,Total,Viability %,,,,,Viability %
12/12/22,750,250,"1,000",75.0,"2,944","3,803","6,740",44.7,75.0
12/13/22,600,300,900,66.7,,,3561.40427,17.84952399,66.7
12/14/22,800,300,"1,100",72.7,,,,,72.7
12/15/22,500,200,700,71.4,,,,,71.4
12/16/22,0,0,0,0.0,,,,,0.0
12/17/22,800,400,"1,200",66.7,,,,,66.7
12/18/22,800,100,900,88.9,,,,,88.9
12/19/22,900,700,"1,600",56.3,,,,,56.3
12/20/22,"1,800",100,"1,900",94.7,,,,,94.7
12/21/22,"1,000",900,"1,900",52.6,,,,,52.6
12/22/22,"1,300",300,"1,600",81.3,,,,,81.3
12/23/22,"1,600","3,300","4,900",32.7,,,,,32.7
12/24/22,0,0,0,0.0,,,,,0.0
12/25/22,"3,100","2,500","5,600",55.4,,,,,55.4
12/26/22,"2,500","1,600","4,100",61.0,,,,,61.0
12/27/22,"1,700","3,000","4,700",36.2,,,,,36.2
12/28/22,"2,600","2,600","5,200",50.0,,,,,50.0
12/29/22,"2,200","3,100","5,300",41.5,,,,,41.5
12/30/22,"3,200","3,800","7,000",45.7,,,,,45.7
12/31/22,"2,400","4,500","6,900",35,,,,,35
1/1/23,"2,900","2,400","5,300",54.7,,,,,54.7
1/2/23,"3,400","2,400","5,800",58.6,,,,,58.6
1/3/23,600,"6,200","6,800",8.8,,,,,8.8
1/4/23,"3,800","2,600","6,400",59.4,,,,,59.4
1/5/23,"1,900","3,200","5,100",37.3,,,,,37.3
1/6/23,"1,400","1,150","2,550",54.9,,,,,54.9
1/7/23,"1,000","2,900","3,900",25.6,,,,,25.6
1/8/23,"2,000",750,"2,750",72.7,,,,,72.7
1/9/23,"1,500","2,600","4,100",36.6,,,,,36.6
1/10/23,"1,900",600,"2,500",76.0,,,,,76.0
1/11/23,"2,600","1,400","4,000",65.0,,,,,65.0
1/12/23,"1,700",600,"2,300",73.9,,,,,73.9
1/13/23,"2,400","1,900","4,300",55.8,,,,,55.8
1/14/23,"2,500",600,"3,100",80.6,,,,,80.6
1/15/23,"1,400","1,000","2,400",58.3,,,,,58.3
1/16/23,"2,900","2,300","5,200",55.8,,,,,55.8
1/17/23,"2,400","1,700","4,100",58.5,,,,,58.5
1/18/23,"2,400","1,600","4,000",60.0,,,,,60.0
1/19/23,"3,300","1,800","5,100",64.7,,,,,64.7
1/20/23,"3,300","3,500","6,800",48.5,,,,,48.5
1/21/23,"2,000","2,300","4,300",46.5,,,,,46.5
1/22/23,"4,700","2,800","7,500",62.7,,,,,62.7
1/23/23,"4,100","5,000","9,100",45.1,,,,,45.1
1/24/23,0,0,0,0.0,,,,,0.0
1/25/23,"4,500","5,500","10,000",45.0,,,,,45.0
1/26/23,"5,100","2,100","7,200",70.8,,,,,70.8
1/27/23,"3,500","4,700","8,200",42.7,,,,,42.7
1/28/23,"5,700","2,200","7,900",72.2,,,,,72.2
1/29/23,"5,000","4,900","9,900",50.5,,,,,50.5
1/30/23,"2,400","2,200","4,600",52.2,,,,,52.2
1/31/23,"3,700","7,000","10,700",35,,,,,35
2/1/23,"3,400","3,200","6,600",51.5,,,,,51.5
2/2/23,"5,500","5,300","10,800",50.9,,,,,50.9
2/3/23,"5,100","4,500","9,600",53.1,,,,,53.1
2/4/23,"3,700","5,300","9,000",41.1,,,,,41.1
2/5/23,"6,600","2,300","8,900",74.2,,,,,74.2
2/6/23,"3,400","4,500","7,900",43.0,,,,,43.0
2/7/23,"4,500","3,700","8,200",54.9,,,,,54.9
2/8/23,"3,000","1,300","4,300",69.8,,,,,69.8
2/9/23,"3,900","3,800","7,700",50.6,,,,,50.6
2/10/23,0,0,0,,,,,,0
2/11/23,700,"1,400","2,100",33.3,,,,,33.3
2/12/23,"2,100",0,"2,100",100.0,,,,,100.0
2/13/23,"3,100",900,"4,000",77.5,,,,,77.5
2/14/23,"3,200","1,300","4,500",71.1,,,,,71.1
2/15/23,"4,800","1,900","6,700",71.6,,,,,71.6
2/16/23,"3,200",300,"3,500",91.4,,,,,91.4
2/17/23,"2,500",700,"3,200",78.1,,,,,78.1
2/18/23,700,300,"1,000",70.0,,,,,70.0
2/19/23,"4,100",400,"4,500",91.1,,,,,91.1
2/20/23,"3,400","5,400","8,800",38.6,,,,,38.6
2/21/23,"4,400","4,700","9,100",48.4,,,,,48.4
2/22/23,"4,200","6,900","11,100",37.8,,,,,37.8
2/23/23,"4,500","5,200","9,700",46.4,,,,,46.4
2/24/23,"4,000","6,400","10,400",38.5,,,,,38.5
2/25/23,"1,600","1,800","3,400",47.1,,,,,47.1
2/26/23,"5,000","4,900","9,900",50.5,,,,,50.5
2/27/23,"6,200","4,000","10,200",60.8,,,,,60.8
2/28/23,"5,400","8,000","13,400",40.3,,,,,40.3
3/1/23,"4,100","2,800","6,900",59.4,,,,,59.4
3/2/23,"5,800","5,300","11,100",52.3,,,,,52.3
3/3/23,"6,100","5,800","11,900",51,,,,,51
3/4/23,"5,400","5,500","10,900",49.5,,,,,49.5
3/5/23,"4,900","3,200","8,100",60.5,,,,,60.5
3/6/23,"6,100","5,500","11,600",52.6,,,,,52.6
3/7/23,"4,600","4,200","8,800",52.3,,,,,52.3
3/8/23,"5,000","5,300","10,300",48.5,,,,,48.5
3/9/23,"6,500","5,900","12,400",52.4,,,,,52.4
3/10/23,"5,900","4,600","10,500",56.2,,,,,56.2
3/11/23,"4,800","3,600","8,400",57.1,,,,,57.1
3/12/23,"5,700","4,600","10,300",55.3,,,,,55.3
3/13/23,"4,200","1,300","5,500",76.4,,,,,76.4
3/14/23,"3,800","3,800","7,600",50.0,,,,,50.0
3/15/23,"3,700","1,100","4,800",77.1,,,,,77.1
3/16/23,"5,600","3,300","8,900",62.9,,,,,62.9
3/17/23,"3,800","1,300","5,100",74.5,,,,,74.5
3/18/23,"6,200","2,500","8,700",71.3,,,,,71.3
3/19/23,"6,300",900,"7,200",87.5,,,,,87.5
3/20/23,"4,400","6,200","10,600",41.5,,,,,41.5
3/21/23,"8,400","4,500","12,900",65.1,,,,,65.1
3/22/23,"3,400","8,700","12,100",28.1,,,,,28.1
3/23/23,"6,600","4,600","11,200",58.9,,,,,58.9
3/24/23,"6,400","10,700","17,100",37.4,,,,,37.4
3/25/23,"4,600","6,800","11,400",40.4,,,,,40.4
3/26/23,"7,400","3,600","11,000",67.3,,,,,67.3
3/27/23,"7,200","7,100","14,300",50.3,,,,,50.3
3/28/23,"7,600","12,000","19,600",38.8,,,,,38.8
3/29/23,"8,900","8,400","17,300",51.4,,,,,51.4
3/30/23,"7,600","11,900","19,500",39.0,,,,,39.0
3/31/23,"5,000","6,700","11,700",43,,,,,43
4/1/23,"6,400","9,600","16,000",40.0,,,,,40.0
4/2/23,"5,500","4,500","10,000",55.0,,,,,55.0
4/3/23,"6,400","9,300","15,700",40.8,,,,,40.8
4/4/23,"4,700","5,100","9,800",48.0,,,,,48.0
4/5/23,"5,100","4,800","9,900",51.5,,,,,51.5
4/6/23,"7,000","4,400","11,400",61.4,,,,,61.4
4/7/23,"6,000","6,000","12,000",50.0,,,,,50.0
4/8/23,"4,900","5,400","10,300",47.6,,,,,47.6
